"date","bea_ea_code","bea_ea_name","gdp2018","cases","deaths","pop10"
2020-01-21,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-22,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-23,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-24,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-24,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-25,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-25,97,"Los Angeles-Long Beach-Riverside, CA",260484674,1,0,3010232
2020-01-25,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-26,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-26,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-26,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-26,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-27,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-27,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-27,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-27,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-28,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-28,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-28,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-28,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-29,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,1,0,5194675
2020-01-29,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-29,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-29,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-30,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-01-30,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-30,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-30,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-01-31,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-01-31,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-01-31,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-01-31,146,"San Jose-San Francisco-Oakland, CA",328260759,1,0,1781642
2020-01-31,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-01,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-01,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-01,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-01,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-01,146,"San Jose-San Francisco-Oakland, CA",328260759,1,0,1781642
2020-02-01,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-02,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-02,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-02,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-02,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-02,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-02,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-03,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-03,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-03,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-03,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-03,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-03,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-04,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-04,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-04,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-04,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-04,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-04,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-05,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-05,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-05,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-05,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-05,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-05,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-05,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-06,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-06,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-06,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-06,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-06,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-06,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-06,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-07,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-07,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-07,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-07,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-07,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-07,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-07,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-08,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-08,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-08,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-08,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-08,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-08,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-08,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-09,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-09,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-09,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-09,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-09,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-09,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-09,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-10,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-10,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-10,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-10,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-10,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-10,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-10,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-10,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-11,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-11,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-11,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-11,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-11,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-11,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-11,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-11,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-12,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-12,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-12,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-12,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-12,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-12,144,"San Antonio, TX",109073496,1,0,1714773
2020-02-12,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-12,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-12,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-13,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-13,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-13,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-13,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-13,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-13,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-13,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-13,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-13,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-14,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-14,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-14,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-14,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-14,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-14,144,"San Antonio, TX",109073496,2,0,1714773
2020-02-14,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-14,146,"San Jose-San Francisco-Oakland, CA",511432432,4,0,2586877
2020-02-14,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-15,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-15,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-15,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-15,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-15,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-15,144,"San Antonio, TX",109073496,2,0,1714773
